PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
84398,78462F10,SPY,46699,2020-03-31,257.750000,-0.124643,5926710256,915632,0.000000,-0.141733
84398,78462F10,SPY,46699,2020-04-30,290.480000,0.126984,2820271447,903882,,0.129674
84398,78462F10,SPY,46699,2020-05-29,304.320000,0.047645,1911784390,879532,,0.053739
84398,78462F10,SPY,46699,2020-06-30,308.360000,0.017761,2359695855,886832,0.000000,0.025299
84398,78462F10,SPY,46699,2020-07-31,326.520000,0.058892,1505575953,884832,,0.055532
84398,78462F10,SPY,46699,2020-08-31,349.310000,0.069797,1045783877,879532,,0.068442
84398,78462F10,SPY,46699,2020-09-30,334.890000,-0.037398,1815146487,874332,0.000000,-0.035056
84398,78462F10,SPY,46699,2020-10-30,326.540000,-0.024934,1629408336,858832,,-0.020178
84398,78462F10,SPY,46699,2020-11-30,362.060000,0.108777,1535878617,893182,,0.123707
84398,78462F10,SPY,46699,2020-12-31,373.880000,0.037066,1345460099,886482,0.000000,0.045048
84398,78462F10,SPY,46699,2021-01-29,370.070000,-0.010190,1401799520,860832,,-0.000631
84398,78462F10,SPY,46699,2021-02-26,380.360000,0.027806,1308322021,868632,,0.029196
84398,78462F10,SPY,46699,2021-03-31,396.330000,0.045405,2401881132,865182,0.000000,0.030573
84398,78462F10,SPY,46699,2021-04-30,417.300000,0.052910,1462173411,865282,,0.048190
84398,78462F10,SPY,46699,2021-05-28,420.040000,0.006566,1547358280,857982,,0.007092
84398,78462F10,SPY,46699,2021-06-30,428.060000,0.022473,1282152407,869982,0.000000,0.023422
84398,78462F10,SPY,46699,2021-07-30,438.510000,0.024412,1422104622,871332,,0.011828
84398,78462F10,SPY,46699,2021-08-31,451.560000,0.029760,1254225343,879082,,0.027146
84398,78462F10,SPY,46699,2021-09-30,429.140000,-0.046575,1744853080,903432,0.000000,-0.042243
84398,78462F10,SPY,46699,2021-10-29,459.250000,0.070164,1508665331,906232,,0.064650
84398,78462F10,SPY,46699,2021-11-30,455.560000,-0.008035,1335351505,901932,,-0.018351
84398,78462F10,SPY,46699,2021-12-31,474.960000,0.046295,1928105447,953182,0.000000,0.033341
84398,78462F10,SPY,46699,2022-01-31,449.910000,-0.052741,2486044024,922532,,-0.059822
84398,78462F10,SPY,46699,2022-02-28,436.630000,-0.029517,2298151885,897882,,-0.021838
84398,78462F10,SPY,46699,2022-03-31,451.640000,0.037556,2381034599,919282,0.000000,0.030506
84398,78462F10,SPY,46699,2022-04-29,412.000000,-0.087769,1856757472,896582,,-0.089387
84398,78462F10,SPY,46699,2022-05-31,412.930000,0.002257,2418478176,914032,,-0.002113
84398,78462F10,SPY,46699,2022-06-30,377.250000,-0.082469,1958752731,918282,0.000000,-0.083997
84398,78462F10,SPY,46699,2022-07-29,411.990000,0.092087,1437748370,910382,,0.090351
84398,78462F10,SPY,46699,2022-08-31,395.180000,-0.040802,1443534308,908332,,-0.036233
84398,78462F10,SPY,46699,2022-09-30,357.180000,-0.092416,1998908806,916782,0.000000,-0.091323
84398,78462F10,SPY,46699,2022-10-31,386.210000,0.081276,2024731829,950932,,0.077394
